"","coords.lon","coords.lat","areas","areas.sum.areas."
"1019",-53.25,-6.25,3071.71138752266,0.000516728464556519
"1020",-52.75,-6.25,3071.71138752266,0.000516728464556519
"1021",-52.25,-6.25,3071.71138752266,0.000516728464556519
"1022",-51.75,-6.25,3071.71138752266,0.000516728464556519
"1023",-79.25,-5.75,3074.53016554005,0.000517202644143433
"1024",-78.75,-5.75,3074.53016554005,0.000517202644143433
"1025",-78.25,-5.75,3074.53016554005,0.000517202644143433
"1026",-77.75,-5.75,3074.53016554005,0.000517202644143433
"1027",-77.25,-5.75,3074.53016554005,0.000517202644143433
"1028",-76.75,-5.75,3074.53016554005,0.000517202644143433
"1029",-76.25,-5.75,3074.53016554005,0.000517202644143433
"1030",-75.75,-5.75,3074.53016554005,0.000517202644143433
"1031",-75.25,-5.75,3074.53016554005,0.000517202644143433
"1032",-74.75,-5.75,3074.53016554005,0.000517202644143433
"1033",-74.25,-5.75,3074.53016554005,0.000517202644143433
"1034",-73.75,-5.75,3074.53016554005,0.000517202644143433
"1035",-73.25,-5.75,3074.53016554005,0.000517202644143433
"1036",-72.75,-5.75,3074.53016554005,0.000517202644143433
"1037",-72.25,-5.75,3074.53016554005,0.000517202644143433
"1038",-71.75,-5.75,3074.53016554005,0.000517202644143433
"1039",-71.25,-5.75,3074.53016554005,0.000517202644143433
"1040",-70.75,-5.75,3074.53016554005,0.000517202644143433
"1041",-70.25,-5.75,3074.53016554005,0.000517202644143433
"1042",-69.75,-5.75,3074.53016554005,0.000517202644143433
"1043",-69.25,-5.75,3074.53016554005,0.000517202644143433
"1044",-68.75,-5.75,3074.53016554005,0.000517202644143433
"1045",-68.25,-5.75,3074.53016554005,0.000517202644143433
"1046",-67.75,-5.75,3074.53016554005,0.000517202644143433
"1047",-67.25,-5.75,3074.53016554005,0.000517202644143433
"1048",-66.75,-5.75,3074.53016554005,0.000517202644143433
"1049",-66.25,-5.75,3074.53016554005,0.000517202644143433
"1050",-65.75,-5.75,3074.53016554005,0.000517202644143433
"1051",-65.25,-5.75,3074.53016554005,0.000517202644143433
"1052",-64.75,-5.75,3074.53016554005,0.000517202644143433
"1053",-64.25,-5.75,3074.53016554005,0.000517202644143433
"1054",-63.75,-5.75,3074.53016554005,0.000517202644143433
"1055",-63.25,-5.75,3074.53016554005,0.000517202644143433
"1056",-62.75,-5.75,3074.53016554005,0.000517202644143433
"1057",-62.25,-5.75,3074.53016554005,0.000517202644143433
"1058",-61.75,-5.75,3074.53016554005,0.000517202644143433
"1059",-61.25,-5.75,3074.53016554005,0.000517202644143433
"1060",-60.75,-5.75,3074.53016554005,0.000517202644143433
"1061",-60.25,-5.75,3074.53016554005,0.000517202644143433
"1062",-59.75,-5.75,3074.53016554005,0.000517202644143433
"1063",-59.25,-5.75,3074.53016554005,0.000517202644143433
"1064",-58.75,-5.75,3074.53016554005,0.000517202644143433
"1065",-58.25,-5.75,3074.53016554005,0.000517202644143433
"1066",-57.75,-5.75,3074.53016554005,0.000517202644143433
"1067",-57.25,-5.75,3074.53016554005,0.000517202644143433
"1068",-56.75,-5.75,3074.53016554005,0.000517202644143433
